....
Sub-Category,Sales,Region,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Category,Product Name
Chairs,33.94,South,CA-2019-155292,First Class,RD-19810,Ross DeVincentis,Home Office,United States,Richmond,Kentucky,FUR-CH-10000553,Furniture,"Metal Folding Chairs, Beige, 4/Carton"
Chairs,51.96,South,CA-2016-142727,Second Class,HG-14845,Harry Greene,Consumer,United States,Lake Charles,Louisiana,FUR-CH-10002304,Furniture,"Global Stack Chair without Arms, Black"
Chairs,64.784,South,CA-2016-154158,Second Class,CC-12670,Craig Carreira,Consumer,United States,Tampa,Florida,FUR-CH-10004698,Furniture,"Padded Folding Chairs, Black, 4/Carton"
Chairs,64.784,South,CA-2019-168389,Standard Class,DV-13045,Darrin Van Huff,Corporate,United States,Jacksonville,Florida,FUR-CH-10000225,Furniture,"Global Geo Office Task Chair, Gray"
Chairs,67.88,South,CA-2016-116190,Standard Class,SG-20470,Sheri Gordon,Consumer,United States,Atlanta,Georgia,FUR-CH-10000553,Furniture,"Metal Folding Chairs, Beige, 4/Carton"
Chairs,70.98,South,CA-2017-128139,Standard Class,BD-11725,Bruce Degenhardt,Consumer,United States,Richmond,Kentucky,FUR-CH-10003956,Furniture,Novimex High-Tech Fabric Mesh Task Chair
Chairs,97.18400000000001,South,US-2019-117450,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Boynton Beach,Florida,FUR-CH-10003817,Furniture,"Global Value Steno Chair, Gray"
Chairs,97.424,South,US-2017-131842,First Class,RR-19525,Rick Reed,Corporate,United States,Nashville,Tennessee,FUR-CH-10004477,Furniture,"Global Push Button Manager's Chair, Indigo"
Chairs,98.392,South,CA-2018-134516,Standard Class,FM-14215,Filia McAdams,Corporate,United States,Greensboro,North Carolina,FUR-CH-10002880,Furniture,"Global High-Back Leather Tilter, Burgundy"
Chairs,102.59200000000001,South,CA-2018-156503,Standard Class,NC-18415,Nathan Cano,Consumer,United States,Jacksonville,North Carolina,FUR-CH-10003606,Furniture,SAFCO Folding Chair Trolley
Chairs,121.78,South,CA-2018-162159,First Class,CR-12625,Corey Roper,Home Office,United States,Columbus,Georgia,FUR-CH-10001146,Furniture,"Global Value Mid-Back Manager's Chair, Gray"
Chairs,140.81,South,CA-2018-157763,Standard Class,KH-16330,Katharine Harms,Corporate,United States,Bowling Green,Kentucky,FUR-CH-10000988,Furniture,Hon Olson Stacker Stools
Chairs,141.96,South,CA-2019-100412,Standard Class,SR-20425,Sharelle Roach,Home Office,United States,Tuscaloosa,Alabama,FUR-CH-10002647,Furniture,"Situations Contoured Folding Chairs, 4/Set"
Chairs,146.13600000000002,South,CA-2017-113628,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Plantation,Florida,FUR-CH-10004477,Furniture,"Global Push Button Manager's Chair, Indigo"
Chairs,149.9,South,US-2016-114377,Same Day,BG-11035,Barry Gonzalez,Consumer,United States,Hampton,Virginia,FUR-CH-10004754,Furniture,"Global Stack Chair with Arms, Black"
Chairs,161.568,South,US-2017-145436,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Columbia,Tennessee,FUR-CH-10004860,Furniture,Global Low Back Tilter Chair
Chairs,170.35200000000003,South,US-2016-109162,Standard Class,KE-16420,Katrina Edelman,Corporate,United States,Bristol,Tennessee,FUR-CH-10002647,Furniture,"Situations Contoured Folding Chairs, 4/Set"
Chairs,182.67000000000002,South,CA-2018-163167,Second Class,RF-19345,Randy Ferguson,Corporate,United States,Marietta,Georgia,FUR-CH-10004477,Furniture,"Global Push Button Manager's Chair, Indigo"
Chairs,186.304,South,CA-2016-116568,Standard Class,BM-11785,Bryan Mills,Consumer,United States,Deltona,Florida,FUR-CH-10002439,Furniture,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
Chairs,187.056,South,CA-2018-154060,Standard Class,DL-12865,Dan Lawera,Consumer,United States,Greensboro,North Carolina,FUR-CH-10002304,Furniture,"Global Stack Chair without Arms, Black"
Chairs,191.96,South,CA-2017-107678,Standard Class,JK-16090,Juliana Krohn,Consumer,United States,Louisville,Kentucky,FUR-CH-10001891,Furniture,Global Deluxe Office Fabric Chairs
Chairs,194.848,South,CA-2019-107209,Second Class,JW-15955,Joni Wasserman,Consumer,United States,Raleigh,North Carolina,FUR-CH-10001146,Furniture,"Global Value Mid-Back Manager's Chair, Gray"
Chairs,196.784,South,US-2019-134642,Standard Class,SW-20245,Scot Wooten,Consumer,United States,Greenville,North Carolina,FUR-CH-10002880,Furniture,"Global High-Back Leather Tilter, Burgundy"
Chairs,207,South,CA-2017-131422,Standard Class,GB-14530,George Bell,Corporate,United States,Monroe,North Carolina,FUR-CH-10001270,Furniture,Harbour Creations Steel Folding Chair
Chairs,207,South,CA-2019-134810,First Class,MC-17605,Matt Connell,Corporate,United States,Jacksonville,North Carolina,FUR-CH-10001270,Furniture,Harbour Creations Steel Folding Chair
Chairs,207.98400000000004,South,US-2018-153815,First Class,KL-16555,Kelly Lampkin,Corporate,United States,Jacksonville,Florida,FUR-CH-10000513,Furniture,High-Back Leather Manager's Chair
Chairs,209.56799999999998,South,CA-2019-103499,Standard Class,ES-14020,Erica Smith,Consumer,United States,Jackson,Tennessee,FUR-CH-10001482,Furniture,Office Star - Mesh Screen back chair with Vinyl seat
Chairs,218.35200000000003,South,CA-2019-134495,Second Class,BF-11020,Barry Französisch,Corporate,United States,Jacksonville,Florida,FUR-CH-10003774,Furniture,"Global Wood Trimmed Manager's Task Chair, Khaki"
Chairs,218.376,South,US-2016-155544,Standard Class,GM-14440,Gary McGarr,Consumer,United States,Knoxville,Tennessee,FUR-CH-10000422,Furniture,Global Highback Leather Tilter in Burgundy
Chairs,225.29600000000002,South,CA-2018-154690,Second Class,CC-12370,Christopher Conant,Consumer,United States,Fayetteville,North Carolina,FUR-CH-10000988,Furniture,Hon Olson Stacker Stools
Chairs,232.88,South,CA-2019-124296,Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,Lafayette,Louisiana,FUR-CH-10002439,Furniture,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
Chairs,239.24,South,US-2019-152492,Same Day,AH-10585,Angele Hood,Consumer,United States,Miami,Florida,FUR-CH-10000155,Furniture,Global Comet Stacking Armless Chair
Chairs,242.35200000000003,South,US-2019-152842,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Charlotte,North Carolina,FUR-CH-10004218,Furniture,"Global Fabric Manager's Chair, Dark Gray"
Chairs,258.75,South,US-2019-158526,Second Class,KH-16360,Katherine Hughes,Consumer,United States,Louisville,Kentucky,FUR-CH-10001270,Furniture,Harbour Creations Steel Folding Chair
Chairs,273.552,South,CA-2019-148810,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Miami,Florida,FUR-CH-10001545,Furniture,Hon Comfortask Task/Swivel Chairs
Chairs,283.92,South,CA-2017-134894,Standard Class,DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,FUR-CH-10002647,Furniture,"Situations Contoured Folding Chairs, 4/Set"
Chairs,287.94,South,CA-2017-114300,Standard Class,AF-10885,Art Foster,Consumer,United States,Louisville,Kentucky,FUR-CH-10001891,Furniture,Global Deluxe Office Fabric Chairs
Chairs,290.98,South,CA-2018-120873,Second Class,BW-11200,Ben Wallace,Consumer,United States,Hampton,Virginia,FUR-CH-10000847,Furniture,Global Executive Mid-Back Manager's Chair
Chairs,300.98,South,US-2019-158526,Second Class,KH-16360,Katherine Hughes,Consumer,United States,Louisville,Kentucky,FUR-CH-10004495,Furniture,"Global Leather and Oak Executive Chair, Black"
Chairs,301.96,South,CA-2019-129462,Second Class,JE-15745,Joel Eaton,Consumer,United States,Florence,Kentucky,FUR-CH-10000665,Furniture,"Global Airflow Leather Mesh Back Chair, Black"
Chairs,301.96,South,CA-2019-140088,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,FUR-CH-10000863,Furniture,Novimex Swivel Fabric Task Chair
Chairs,304.45,South,CA-2019-163510,Second Class,JW-15955,Joni Wasserman,Consumer,United States,Louisville,Kentucky,FUR-CH-10001146,Furniture,"Global Value Mid-Back Manager's Chair, Gray"
Chairs,314.352,South,CA-2019-145702,Second Class,AH-10075,Adam Hart,Corporate,United States,Knoxville,Tennessee,FUR-CH-10001482,Furniture,Office Star - Mesh Screen back chair with Vinyl seat
Chairs,332.94,South,CA-2017-115938,Standard Class,SA-20830,Sue Ann Reed,Consumer,United States,Richmond,Virginia,FUR-CH-10003199,Furniture,Office Star - Contemporary Task Swivel Chair
Chairs,350.98,South,CA-2018-145905,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,FUR-CH-10001854,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
Chairs,363.92,South,CA-2018-142895,Standard Class,BP-11290,Beth Paige,Consumer,United States,Concord,North Carolina,FUR-CH-10002961,Furniture,"Leather Task Chair, Black"
Chairs,368.96999999999997,South,CA-2018-149979,Second Class,RA-19915,Russell Applegate,Consumer,United States,Columbus,Georgia,FUR-CH-10002084,Furniture,Hon Mobius Operator's Chair
Chairs,389.696,South,US-2017-145436,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Columbia,Tennessee,FUR-CH-10004477,Furniture,"Global Push Button Manager's Chair, Indigo"
Chairs,390.272,South,CA-2018-138695,Standard Class,KC-16675,Kimberly Carter,Corporate,United States,Tallahassee,Florida,FUR-CH-10003833,Furniture,Novimex Fabric Task Chair
Chairs,390.368,South,CA-2019-108035,Standard Class,TT-21070,Ted Trevino,Consumer,United States,Chattanooga,Tennessee,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
Chairs,392.93999999999994,South,CA-2017-168004,Second Class,DJ-13420,Denny Joy,Corporate,United States,Warner Robins,Georgia,FUR-CH-10001482,Furniture,Office Star - Mesh Screen back chair with Vinyl seat
Chairs,419.13599999999997,South,CA-2019-129490,Standard Class,SJ-20125,Sanjit Jacobs,Home Office,United States,Miramar,Florida,FUR-CH-10003298,Furniture,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal"
Chairs,419.13599999999997,South,CA-2019-148999,Standard Class,EB-13870,Emily Burns,Consumer,United States,Miami,Florida,FUR-CH-10002044,Furniture,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum"
Chairs,423.64799999999997,South,CA-2019-128363,Standard Class,DC-12850,Dan Campbell,Consumer,United States,Memphis,Tennessee,FUR-CH-10002073,Furniture,Hon Olson Stacker Chairs
Chairs,500.23999999999995,South,CA-2016-114321,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,Hampton,Virginia,FUR-CH-10001797,Furniture,"Safco Chair Connectors, 6/Carton"
Chairs,504.90000000000003,South,CA-2019-116855,Standard Class,AI-10855,Arianne Irving,Consumer,United States,Chesapeake,Virginia,FUR-CH-10003846,Furniture,Hon Valutask Swivel Chairs
Chairs,517.5,South,CA-2017-143119,Standard Class,MC-17275,Marc Crier,Consumer,United States,Lafayette,Louisiana,FUR-CH-10001270,Furniture,Harbour Creations Steel Folding Chair
Chairs,523.92,South,CA-2017-113628,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Plantation,Florida,FUR-CH-10003298,Furniture,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal"
Chairs,545.88,South,CA-2016-110408,Second Class,AS-10225,Alan Schoenberger,Corporate,United States,Montgomery,Alabama,FUR-CH-10003774,Furniture,"Global Wood Trimmed Manager's Task Chair, Khaki"
Chairs,545.9399999999999,South,CA-2016-109232,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,FUR-CH-10000422,Furniture,Global Highback Leather Tilter in Burgundy
Chairs,561.5840000000001,South,CA-2016-107811,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Memphis,Tennessee,FUR-CH-10001394,Furniture,Global Leather Executive Chair
Chairs,605.34,South,CA-2016-115084,Standard Class,LS-17200,Luke Schmidt,Corporate,United States,Texarkana,Arkansas,FUR-CH-10004626,Furniture,Office Star Flex Back Scooter Chair with Aluminum Finish Frame
Chairs,641.96,South,CA-2018-157245,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Arlington,Virginia,FUR-CH-10003746,Furniture,Hon 4070 Series Pagoda Round Back Stacking Chairs
Chairs,643.136,South,CA-2017-156734,First Class,BV-11245,Benjamin Venier,Corporate,United States,Smyrna,Tennessee,FUR-CH-10002965,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
Chairs,662.88,South,CA-2016-134551,Standard Class,TS-21505,Tony Sayre,Consumer,United States,Columbia,Tennessee,FUR-CH-10004287,Furniture,SAFCO Arco Folding Chair
Chairs,683.9520000000001,South,CA-2019-113558,Standard Class,PH-18790,Patricia Hirasaki,Home Office,United States,Lakeland,Florida,FUR-CH-10003379,Furniture,Global Commerce Series High-Back Swivel/Tilt Chairs
Chairs,698.3520000000001,South,CA-2019-126914,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Monroe,North Carolina,FUR-CH-10000847,Furniture,Global Executive Mid-Back Manager's Chair
